journal,title,author,pages,number,volume,publisher,month,year,url,doi,ENTRYTYPE,ID,copyright,keywords
Quantum Science and Technology,tket: a retargetable compiler for NISQ devices,Seyon Sivarajah and Silas Dilkes and Alexander Cowtan and Will Simmons and Alec Edgington and Ross Duncan,014003,1,6,IOP Publishing,11,2020,https://doi.org/10.1088/2058-9565/ab8e92,10.1088/2058-9565/ab8e92,article,Sivarajah_2020,,
,Tierkreis: A Dataflow Framework for Hybrid Quantum-Classical Computing,"Sivarajah, Seyon and Heidemann, Lukas and Lawrence, Alan and Duncan, Ross",,,,arXiv,11,2022,https://arxiv.org/abs/2211.02350,10.48550/ARXIV.2211.02350,article,https://doi.org/10.48550/arxiv.2211.02350,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Distributed, Parallel, and Cluster Computing (cs.DC), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences"
