copyright,month,year,publisher,title,keywords,author,url,doi,ENTRYTYPE,ID
Creative Commons Attribution 4.0 International,9,2021,arXiv,"Something Old, Something New: Grammar-based CCG Parsing with Transformer Models","Computation and Language (cs.CL), FOS: Computer and information sciences, FOS: Computer and information sciences","Clark, Stephen",https://arxiv.org/abs/2109.10044,10.48550/ARXIV.2109.10044,article,https://doi.org/10.48550/arxiv.2109.10044
Creative Commons Attribution 4.0 International,3,2022,arXiv,The Conceptual VAE,"Machine Learning (cs.LG), Artificial Intelligence (cs.AI), FOS: Computer and information sciences, FOS: Computer and information sciences","Shaikh, Razin A. and Zemljic, Sara Sabrina and Tull, Sean and Clark, Stephen",https://arxiv.org/abs/2203.11216,10.48550/ARXIV.2203.11216,article,https://doi.org/10.48550/arxiv.2203.11216
