Name,Date,Publication Link,Authors List,Journal,Tech Solution
Study of the consistency relation for single-field inflation with power spectrum oscillations,Sun Dec 01 2013 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevD.88.123511,"Mark G. Jackson, Gary Shiu",Phys. Rev. D,Other
A universal completion of the ZX-calculus,Thu Jun 01 2017 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/1706.09877,"Kang Feng Ng, Quanlong Wang",arXiv preprint,Other
On the computational complexity of detecting possibilistic locality,Thu Feb 01 2018 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1093/logcom/exx045,Andrew W Simmons,Journal of Logic and Computation,Other
An initialization strategy for addressing barren plateaus in parametrized quantum circuits,Sun Dec 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.22331%2Fq-2019-12-09-214,"Edward Grant,  Leonard Wossnig,  Mateusz Ostaszewski,  Marcello Benedetti",Quantum,Other
Practical randomness amplification and privatisation with implementations on quantum computers,Tue Sep 01 2020 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2009.06551,"Cameron Foreman, Sherilyn, Wright, Alec, Edgington, Mario, Berta, Florian J. Curchod",arXiv preprint,Other
Quantifying EPR: the resource theory of nonclassicality of common-cause assemblages,Mon Nov 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2111.10244,"Beata Zjawin, David, Schmid, Matty J., Hoban, Ana Belen Sainz",arXiv preprint,Other
Quantum networks self-test all entangled states,Sat Jan 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2201.05032,"Ivan Supic, Joseph, Bowles, Marc-Olivier, Renou, Antonio, Acin, Matty J. Hoban",arXiv preprint,Other
Thermoelectric coefficients of $n$-doped silicon from first principles via the solution of the Boltzmann transport equation,Mon Aug 01 2016 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevB.94.085204,"Mattia Fiorentini, Nicola Bonini",Phys. Rev. B,Machine Learning
Relaxations of Graph Isomorphism,Sat Jul 01 2017 00:00:00 GMT+0000 (Coordinated Universal Time),http://drops.dagstuhl.de/opus/volltexte/2017/7469,"Laura Mancinska,  David E. Roberson,  Robert Samal,  Simone Severini,  Antonios Varvitsiotis",Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,Machine Learning
Quantum-Assisted Learning of Hardware-Embedded Probabilistic Graphical Models,Wed Nov 01 2017 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevX.7.041052,"Marcello Benedetti, John, Realpe-Gomez, Rupak, Biswas, Alej Perdomo-Ortiz, ro",Phys. Rev. X,Machine Learning
Quantum-assisted Helmholtz machines: A quantum{\textendash}classical deep learning framework for industrial datasets in near-term devices,Tue May 01 2018 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1088/2058-9565/aabd98,"Marcello Benedetti,  John Realpe-Gomez,  Alej ro Perdomo-Ortiz",Quantum Science and Technology,Machine Learning
Hierarchical quantum classifiers,Sat Dec 01 2018 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1038/s41534-018-0116-9,"Edward Grant, Marcello Benedetti, Shuxiang Cao, Andrew Hallam, Joshua Lockhart, Vid Stojevic, Andrew G. Green, Simone Severini",npj Quantum Information,Machine Learning
A generative modeling approach for benchmarking and training shallow quantum circuits,Wed May 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1038/s41534-019-0157-8,"Marcello Benedetti, Delfina Garcia-Pintos, Oscar Perdomo, Vicente Leyton-Ortega, Yunseong Nam, Alej Perdomo-Ortiz, ro",npj Quantum Information,Machine Learning
Adversarial quantum circuit learning for pure state approximation,Mon Apr 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1088/1367-2630/ab14b5,"Marcello Benedetti,  Edward Grant,  Leonard Wossnig,  Simone Severini",New Journal of Physics,Machine Learning
Training of quantum circuits on a hybrid quantum computer,Tue Oct 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.science.org/doi/abs/10.1126/sciadv.aaw9918,"D. Zhu, , N. M. Linke, , M. Benedetti, , K. A. L sman, , N. H. Nguyen, , C. H. Alderete, , A. Perdomo-Ortiz, , N. Korda, , A. Garfoot, , C. Brecque, , L. Egan, , O. Perdomo, , C. Monroe ",Science Advances,Machine Learning
Parameterized quantum circuits as machine learning models,Fri Nov 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1088/2058-9565/ab4eb5,"Marcello Benedetti,  Erika Lloyd,  Stefan Sack,  Mattia Fiorentini",Quantum Science and Technology,Machine Learning
No quantum speedup with Grover-Rudolph state preparation for quantum Monte Carlo integration,Tue Jun 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevE.103.063302,Steven Herbert,Phys. Rev. E,Machine Learning
Hardware-efficient variational quantum algorithms for time evolution,Thu Jul 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevResearch.3.033083,"Marcello Benedetti, Mattia, Fiorentini, Michael Lubasch",Phys. Rev. Research,Machine Learning
Diagrammatic Differentiation for Quantum Machine Learning,Wed Sep 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.4204%2Feptcs.343.7,"Alexis Toumi,  Richie Yeung,  Giovanni de Felice",Electronic Proceedings in Theoretical Computer Science,Machine Learning
Noise-Aware Quantum Amplitude Estimation,Wed Sep 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2109.04840,"Steven Herbert, Rol Guichard,,  Darren Ng",arXiv preprint,Machine Learning
Every Classical Sampling Circuit is a Quantum Sampling Circuit,Wed Sep 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2109.04842,Steven Herbert,arXiv preprint,Machine Learning
Fast Stabiliser Simulation with Quadratic Form Expansions,Wed Sep 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2109.08629,"Niel de Beaudrap, Steven Herbert",arXiv preprint,Machine Learning
Variational Inference with a Quantum Computer,Fri Oct 01 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://link.aps.org/doi/10.1103/PhysRevApplied.16.044057,"Marcello Benedetti, Brian, Coyle, Mattia, Fiorentini, Michael, Lubasch, Matthias Rosenkranz",Phys. Rev. Applied,Machine Learning
A case study of variational quantum algorithms for a job shop scheduling problem,Sat Jan 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1140/epjqt/s40507-022-00123-4,"David Amaro, Matthias, Rosenkranz, Nathan, Fitzpatrick, Koji, Hirano, Mattia Fiorentini",EPJ Quantum Technol.,Machine Learning
"Filtering variational quantum algorithms for combinatorial 
optimization",Tue Feb 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.1088%2F2058-9565%2Fac3e54,"David Amaro, Carlo, Modica, Matthias, Rosenkranz, Mattia, Fiorentini, Marcello, Benedetti, Michael Lubasch",Quantum Science and Technology,Machine Learning
Variational quantum amplitude estimation,Tue Mar 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.22331/q-2022-03-17-670,"Kirill Plekhanov, Matthias, Rosenkranz, Mattia, Fiorentini, Michael Lubasch",{Quantum},Machine Learning
Bayesian Learning of Parameterised Quantum Circuits,Wed Jun 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2206.07559,"Samuel Duffield, Marcello, Benedetti, Matthias Rosenkranz",arXiv preprint,Machine Learning
Predicting Gibbs State Expectation Values with Pure Thermal Shadows,Wed Jun 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2206.05302,"Luuk Coopmans, Yuta, Kikuchi, Marcello Benedetti",arXiv preprint,Machine Learning
Characterization of variational quantum algorithms using free fermions,Wed Jun 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2206.06400,"Gabriel Matos, Chris N., Self, Zlatko, Papić, Konstantinos, Meichanetzidis, Henrik Dreyer",arXiv preprint,Machine Learning
Clifford Circuit Initialisation for Variational Quantum Algorithms,Fri Jul 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2207.01539,"M. H. Cheng, K. E., Khosla, C. N., Self, M., Lin, B. X., Li, A. C., Medina, M. S. Kim",arXiv preprint,Machine Learning
Efficient recovery of variational quantum algorithms landscapes using classical signal processing,Mon Aug 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2208.05958,"Enrico Fontana, Ivan, Rungger, Ross, Duncan, Cristina Cîrstoiu",arXiv preprint,Machine Learning
Barren plateaus in quantum tensor network optimization,Thu Sep 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2209.00292,"Enrique Cervero Martín, Kirill, Plekhanov, Michael Lubasch",arXiv preprint,Machine Learning
Quantum {M}onte {C}arlo {I}ntegration: {T}he {F}ull {A}dvantage in {M}inimal {C}ircuit {D}epth,Thu Sep 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://doi.org/10.22331/q-2022-09-29-823,Steven Herbert,{Quantum},Machine Learning
Estimating the Jones polynomial for Ising anyons on noisy quantum computers,Sat Oct 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://arxiv.org/abs/2210.11127,"Chris N. Self, Sofyan, Iblisdir, Gavin K., Brennen, Konstantinos Meichanetzidis",arXiv preprint,Machine Learning
