issn,pages,number,volume,month,year,publisher,title,author,url,doi,ENTRYTYPE,ID,copyright,keywords,eprint,journal,numpages,issue,abstract
2045-2322,31196,1,6,8,2016,Scientific Reports,Quantum measurement-induced antiferromagnetic order and density modulations in ultracold Fermi gases in optical lattices,"Mazzucchi, Gabriel and Caballero-Benitez, Santiago F. and Mekhov, Igor B.",https://doi.org/10.1038/srep31196,10.1038/srep31196,article,https://doi.org/10.1038/srep31196,,,,,,,
,,,,10,2019,arXiv,Dynamical mean field theory algorithm and experiment on quantum computers,"Rungger, I. and Fitzpatrick, N. and Chen, H. and Alderete, C. H. and Apel, H. and Cowtan, A. and Patterson, A. and Ramo, D. Munoz and Zhu, Y. and Nguyen, N. H. and Grant, E. and Chretien, S. and Wossnig, L. and Linke, N. M. and Duncan, R.",https://arxiv.org/abs/1910.04735,10.48550/ARXIV.1910.04735,article,https://doi.org/10.48550/arxiv.1910.04735,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Strongly Correlated Electrons (cond-mat.str-el), FOS: Physical sciences, FOS: Physical sciences",,,,,
,,,,8,2020,arXiv,Momentum-Space Unitary Coupled Cluster and Translational Quantum Subspace Expansion for Periodic Systems on Quantum Computers,"Manrique, David Zsolt and Khan, Irfan T. and Yamamoto, Kentaro and Wichitwechkarn, Vijja and Ramo, David Munoz",https://arxiv.org/abs/2008.08694,10.48550/ARXIV.2008.08694,article,https://doi.org/10.48550/arxiv.2008.08694,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), Materials Science (cond-mat.mtrl-sci), Chemical Physics (physics.chem-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,
,e26352,4,121,11,2020,,Generalized unitary coupled cluster excitations for multireference molecular states optimized by the quantum eigensolver,"Greene-Diniz, Gabriel and Munoz Ramo, David",https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.26352,https://doi.org/10.1002/qua.26352,article,https://doi.org/10.1002/qua.26352,,"excited states, multireference states, quantum computation, spin symmetry, unitary coupled cluster, VQE algorithm, Variational Quantum Eigensolver",https://onlinelibrary.wiley.com/doi/pdf/10.1002/qua.26352,International Journal of Quantum Chemistry,,,
,,,,5,2022,"Quantinuum, Cambridge Quantum",Introduction to the InQuanto Computational Chemistry Platform For Quantum Computers,InQuanto Team,https://medium.com/cambridge-quantum-computing/introduction-to-the-inquanto-computational-chemistry-platform-for-quantum-computers-4fced08d66cc,,article,inquanto:2022,,,,,,,
,033110,,4,8,2022,American Physical Society,Quantum hardware calculations of periodic systems with partition-measurement symmetry verification: Simplified models of hydrogen chain and iron crystals,"Yamamoto, Kentaro and Manrique, David Zsolt and Khan, Irfan T. and Sawada, Hideaki and Ramo, David Munoz",https://link.aps.org/doi/10.1103/PhysRevResearch.4.033110,10.1103/PhysRevResearch.4.033110,article,PhysRevResearch.4.033110,,,,Phys. Rev. Res.,15,3,
,e26975,22,122,8,2022,,Quantum computational quantification of protein ligand interactions,"Kirsopp, Josh J. M. and Di Paola, Cono and Manrique, David Zsolt and Krompiec, Michal and Greene-Diniz, Gabriel and Guba, Wolfgang and Meyder, Agnes and Wolf, Detlef and Strahm, Martin and Munoz Ramo, David",https://onlinelibrary.wiley.com/doi/abs/10.1002/qua.26975,https://doi.org/10.1002/qua.26975,article,https://doi.org/10.1002/qua.26975,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qua.26975,International Journal of Quantum Chemistry,,,
,,,,10,2022,arXiv,Strongly Contracted N-Electron Valence State Perturbation Theory Using Reduced Density Matrices from a Quantum Computer,"Krompiec, Michal and Ramo, David Munoz",https://arxiv.org/abs/2210.05702,10.48550/ARXIV.2210.05702,article,https://doi.org/10.48550/arxiv.2210.05702,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,
,,,,11,2022,arXiv,Variational Phase Estimation with Variational Fast Forwarding,"Filip, Maria-Andreea and Ramo, David Munoz and Fitzpatrick, Nathan",https://arxiv.org/abs/2211.16097,10.48550/ARXIV.2211.16097,article,https://doi.org/10.48550/arxiv.2211.16097,Creative Commons Zero v1.0 Universal,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,,
2196-0763,37,1,9,12,2022,,Modelling carbon capture on metal-organic frameworks with quantum computing,"Greene-Diniz, Gabriel and Manrique, David Zsolt and Sennane, Wassil and Magnin, Yann and Shishenina, Elvira and Cordier, Philippe and Llewellyn, Philip and Krompiec, Michal and Rancic, Marko J. and Munoz Ramo, David",https://doi.org/10.1140/epjqt/s40507-022-00155-w,10.1140/epjqt/s40507-022-00155-w,article,Greene-Diniz2022,,,,EPJ Quantum Technology,,,"Despite the recent progress in quantum computational algorithms for chemistry, there is a dearth of quantum computational simulations focused on material science applications, especially for the energy sector, where next generation sorbing materials are urgently needed to battle climate change. To drive their development, quantum computing is applied to the problem of CO2 adsorption in Al-fumarate Metal-Organic Frameworks. Fragmentation strategies based on Density Matrix Embedding Theory are applied, using a variational quantum algorithm as a fragment solver, along with active space selection to minimise qubit number. By investigating different fragmentation strategies and solvers, we propose a methodology to apply quantum computing to Al-fumarate interacting with a CO2 molecule, demonstrating the feasibility of treating a complex porous system as a concrete application of quantum computing. We also present emulated hardware calculations and report the impact of device noise on calculations of chemical dissociation, and how the choice of error mitigation scheme can impact this type of calculation in different ways. Our work paves the way for the use of quantum computing techniques in the quest of sorbents optimisation for more efficient carbon capture and conversion applications."
